@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,22,24-weka.filters.supervised.attribute.ClassOrder-R1-C0'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute g1Living {True,False}
@attribute g2Living {True,False}
@attribute g3Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1X numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g3Y numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g3D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
17,10,20,True,True,False,True,3,7,5,14,3,5,1,18,4,15,10,-1,7,178,South
17,9,20,True,True,False,True,3,7,5,14,3,5,1,18,5,14,9,-1,5,177,South
17,8,20,True,True,False,True,3,7,5,14,3,5,1,18,5,13,8,-1,4,176,South
17,7,20,True,True,False,True,3,7,5,14,3,5,1,18,4,12,7,-1,4,175,South
17,6,20,True,True,False,True,3,6,5,13,3,5,1,18,5,12,7,-1,2,174,South
17,6,20,True,True,False,True,3,6,5,12,3,5,1,18,6,12,8,-1,1,173,South
17,6,20,True,True,False,True,3,5,5,12,3,5,1,18,5,13,8,-1,2,172,South
17,6,20,True,True,False,True,3,6,5,13,3,5,1,18,5,12,7,-1,2,171,South
18,6,20,True,True,False,True,3,5,5,14,3,5,1,18,4,14,7,-1,2,170,East
18,6,20,True,True,False,True,3,4,5,15,3,5,1,18,3,15,6,-1,3,169,East
18,5,20,True,True,False,True,3,4,5,16,3,5,1,18,4,14,4,-1,1,168,South
18,4,20,True,True,False,False,2,4,5,16,3,5,1,7,1,15,3,-1,-1,367,South
18,3,20,True,True,False,False,2,4,5,16,3,5,1,7,1,16,2,-1,-1,366,South
17,3,20,True,False,False,False,1,5,5,3,1,5,1,7,1,14,-1,-1,-1,565,West
16,3,20,True,False,False,False,1,4,5,3,1,5,1,7,1,14,-1,-1,-1,564,West
15,3,20,True,False,False,False,1,3,5,3,1,5,1,7,1,14,-1,-1,-1,563,West
14,3,20,True,False,False,False,1,2,5,3,1,5,1,7,1,14,-1,-1,-1,562,West
13,3,20,True,False,False,False,1,1,5,3,1,5,1,7,1,14,-1,-1,-1,561,West
12,3,20,True,False,False,False,1,1,5,3,1,5,1,7,1,13,-1,-1,-1,560,West
11,3,20,True,False,False,False,1,1,6,3,1,5,1,7,1,13,-1,-1,-1,559,West
10,3,20,True,False,False,False,1,1,5,3,1,5,1,7,1,11,-1,-1,-1,558,West
9,3,20,True,False,False,False,1,1,6,3,1,5,1,7,1,11,-1,-1,-1,557,West
8,3,20,True,False,False,False,1,1,7,3,1,5,1,7,1,11,-1,-1,-1,556,West
7,3,20,True,False,False,False,1,1,7,3,1,5,1,7,1,10,-1,-1,-1,555,West
6,3,20,True,False,False,False,1,1,7,3,1,5,1,7,1,9,-1,-1,-1,554,West
5,3,20,True,False,False,False,1,1,8,3,1,5,1,7,1,9,-1,-1,-1,553,West
4,3,20,True,False,False,False,1,2,8,3,1,5,1,7,1,7,-1,-1,-1,552,West
3,3,20,True,False,False,False,1,3,8,3,1,5,1,7,1,5,-1,-1,-1,551,West
2,3,20,True,False,False,False,1,3,8,3,1,5,1,7,1,6,-1,-1,-1,550,West
1,3,20,True,False,False,False,1,4,8,3,1,5,1,7,1,8,-1,-1,-1,549,West
1,4,20,True,False,False,False,1,5,8,3,1,5,1,7,1,8,-1,-1,-1,548,North
1,5,20,True,False,False,False,1,4,8,3,1,5,1,7,1,6,-1,-1,-1,547,North
1,6,20,True,False,False,False,1,4,8,3,1,5,1,7,1,5,-1,-1,-1,546,North
1,7,20,True,False,False,False,1,4,8,3,1,5,1,7,1,4,-1,-1,-1,545,North
1,8,20,True,False,False,False,1,5,8,3,1,5,1,7,1,4,-1,-1,-1,544,North
2,8,20,True,False,False,False,1,5,9,3,1,5,1,7,1,4,-1,-1,-1,543,East
3,8,20,True,False,False,False,1,5,10,3,1,5,1,7,1,4,-1,-1,-1,542,East
4,8,20,True,False,False,False,1,4,10,3,1,5,1,7,1,2,-1,-1,-1,541,East
5,8,20,True,False,False,False,1,5,10,3,1,5,1,7,1,2,-1,-1,-1,540,East
5,9,20,True,False,False,False,1,5,10,3,1,5,1,7,1,1,-1,-1,-1,539,North
1,13,20,True,True,True,True,4,7,5,13,3,14,11,15,6,14,22,15,21,0,Stop
1,13,20,True,True,True,True,4,7,5,13,3,14,11,15,6,14,22,15,21,-1,Stop
1,13,20,True,True,True,True,4,7,5,13,3,14,11,15,6,14,22,15,21,-2,Stop
1,12,20,True,True,True,True,4,7,5,13,3,14,11,15,6,13,21,14,20,-3,South
1,11,20,True,True,True,True,4,7,5,13,3,14,11,15,6,12,20,13,19,-4,South
2,11,20,True,True,True,True,4,7,5,13,3,14,11,15,6,11,19,12,18,-5,East
3,11,20,True,True,True,True,4,7,5,13,3,14,11,15,6,10,18,11,17,-6,East
4,11,20,True,True,True,True,4,7,5,13,3,14,11,15,6,9,17,10,16,-7,East
5,11,20,True,True,True,True,4,7,5,13,3,14,11,15,6,8,16,9,15,-8,East
5,10,20,True,True,True,True,4,7,5,13,3,14,11,15,6,7,15,10,14,-9,South
5,9,20,True,True,True,True,4,7,5,13,3,14,11,15,6,6,14,11,13,-10,South
